treeID,Rank_structural,Structural_score,Rank_volume,Rank_DBH,Rank_height,Rank_branches,DBH_cm,H_m,BA_m2,Volume_total_m3,Stem_volume_m3,Branch_volume_total_m3,Branch_count,B1_primary_count,B2_secondary_count,B3_tertiary_plus_count,Max_branch_order,Stem_volume_pct,Branch_volume_pct,X_tree,Y_tree,Z_tree,R,G,B
253,67,-1.02308678669202,57,57,57,71,7.37079375039484,8.755,0.00426695830611828,0.0208463344455505,0.0200655408906497,0.000780793554900788,12,7,5,0,3,96.2545283107677,3.74547168923236,28.2918181818182,18.5881818181818,4.94545454545455,55,240,214
185,68,-1.05172945773979,71,68,72,66,2.60455639292367,2.711,0.000532791651969196,0.00230734914977876,0.00155072093065263,0.000756628219126129,35,10,16,9,4,67.2079009282718,32.7920990717282,13.766511627907,9.12697674418605,10.8327906976744,67,226,178
105,69,-1.06771848409316,64,65,62,69,3.6151012108056,4.902,0.00102643346402554,0.00391239509704157,0.00338083189147983,0.000531563205561741,16,7,8,1,4,86.4133556970334,13.5866443029665,15.2709090909091,6.89363636363636,8.65818181818182,207,52,45
216,70,-1.14785889679441,73,72,70,69,2.40852314037973,3.094,0.000455608195781514,0.0017134352414033,0.0014006702613079,0.000312764980095403,16,10,5,1,4,81.7463203430293,18.2536796569708,24.6605405405405,17.952972972973,7.71567567567568,35,110,251
227,71,-1.16428770376308,72,70,75,68,2.51410453502589,1.931,0.000496428314622639,0.00193148072221162,0.00152867034381364,0.00040281037839799,18,10,7,1,4,79.1449961800936,20.8550038199064,25.0528501140095,24.4402551640108,6.94857673424666,53,245,138
477,72,-1.35087569711367,70,66,74,73,3.16655284704376,2.347,0.000787523209955483,0.00241942605745969,0.00234514417140574,7.42818860539504e-05,9,8,1,0,3,96.9297724216485,3.07022757835152,20.4705263157895,7.61105263157895,8.25315789473684,213,253,17
152,73,-1.35948395557088,75,75,73,72,1.83287986956421,2.608,0.000263850477323377,0.000841247347660059,0.000772352513927696,6.88948337323628e-05,10,8,2,0,3,91.8103951324192,8.18960486758083,10.9911363636364,14.5740909090909,14.7235227272727,230,119,64
99,74,-1.42718468725857,76,76,76,74,1.69820246319818,1.884,0.000226500317079944,0.000744592315567799,0.000651875228767899,9.27170867998997e-05,7,6,1,0,3,87.5479393405777,12.4520606594223,18.0887058823529,23.6849411764706,11.7562352941176,69,232,27
55,75,-1.48584295040209,66,63,64,75,3.69020895222581,3.991,0.00106952711038519,0.0033728157098002,0.00330358607194306,6.92296378571372e-05,5,5,0,0,2,97.9474230490572,2.05257695094282,13.0995833333333,8.14395833333333,10.9589583333333,237,165,41
82,76,-1.53223160721747,78,77,78,76,0.249999994412065,1.537,4.90873830179634e-06,0.000456586128311951,0.00041914624077681,3.74398875351411e-05,4,2,2,0,3,91.8000383249573,8.19996167504266,27.22125,15.8475,6.0825,202,65,246
224,77,-1.69177659720565,74,74,68,77,2.22825546930161,3.206,0.000389959804264899,0.0011609222016182,0.00115251615890793,8.40604271026581e-06,1,1,0,0,2,99.2759167928265,0.724083207173463,24.3297222222222,10.3266666666667,6.70444444444444,63,180,235
490,78,-1.77406641282567,77,77,77,77,0.249999994412065,1.83,4.90873830179634e-06,0.000461952280688393,0.000457058044586977,4.89423610141569e-06,1,1,0,0,2,98.9405321055841,1.05946789441593,18.1575,5.525,7.48,67,121,229
